network;Device;Adresse-IP;Racine-nom-CVS;Numversion:1.7;DateRevision: 28/07/2022
RCM;ANS-C01/DG/CB.1;172.17.27.3;ANS-C01_B0702_MOS1_parameters;;
RCM;ANS-C01/DG/CB.2;172.17.27.61;D01-03DX_B0725_MOS1_parameters;;
RCM;ANS-C01/DG/CB.3;172.17.27.66;ANS-C01_B0702_MOS2_parameters;;
RCM;ANS-C02/DG/CB.1;172.17.27.8;ANS-C03_B0723_MOS1_parameters;;
RCM;ANS-C02/DG/CB.2;172.17.27.9;ANS-C03_B0723_MOS2_parameters;;
RCM;ANS-C02/RF/CB.1;172.17.27.5;ANS-C02_B0503_MOS1_parameters;;
RCM;ANS-C03/RF/CB.1;172.17.27.7;ANS-C03_B0509_MOS1_parameters;;
RCM;ANS-C04/DG/CB.1;172.17.27.14;ANS-C04_B0724_MOS1_parameters;;
RCM;ANS-C04/DG/CB.2;172.17.27.15;ANS-C04_B0724_MOS2_parameters;;
RCM;ANS-C06/DG/CB.1;172.17.27.20;ANS-C06_B0726_MOS1_parameters;;
RCM;ANS-C07/DG/CB.1;172.17.27.55;ANS-C07_B0158_MOS1_parameters;;
RCM;ANS-C08/DG/CB.1;172.17.27.24;ANS-C08_B0159_MOS1_parameters;;
RCM;ANS-C10/DG/CB.1;172.17.27.28;ANS-C10_B0728_MOS1_parameters;;
RCM;ANS-C11/DG/CB.1;172.17.27.31;ANS-C11_B0729_MOS1_parameters;;
RCM;ANS-C12/DG/CB.1;172.17.27.34;ANS-C12_B0163_MOS1_parameters;;
RCM;ANS-C13/DG/CB.1;172.17.27.36;ANS-C13_B0164_MOS1_parameters;;
RCM;ANS-C16/DG/CB.1;172.17.27.38;ANS-C16_B717_MOS2_parameters;;
RCM;ANS-C16/DG/CB.2;172.17.27.68;ANS-C16_B717_MOS1_parameters;;
RCM;BOO/RF/CB;172.17.27.1;BOO-CO.0.28_B0523_MOS1_parameters;;
RCM;BOO/RF/CB.2;172.17.27.69;BOO-CO.0.28_B0523_MOS2_parameters;;
RCM;D02-IR/VI/CB.1;172.17.27.6;ANS-C02_B0608_MOS1_parameters;;
RCM;D03-IR/VI/CB.1;172.17.27.11;ANS-C03_B0613_MOS1_parameters;;
